,Watched,Date,Day,Rating,movieId,title,genres,release_date,vote_average,vote_count,keywords
133,Alone,04/01/2019,friday,4,628,Interview with the Vampire,"Horror, Romance",11/11/1994,7.2,1560,"paris, san francisco, vampire, plantation, pity"
134,Alone,29/05/2018,tuesday,4,37135,Tarzan,"Adventure, Animation, Drama, Family",18/06/1999,7.1,1720,"gorilla, baby, adoption, feral child, nest"
135,Alone,28/11/2018,wednesday,4,3580,Changeling,"Crime, Drama, Mystery",30/01/2008,7.3,1150,"corruption, mother, nudity, minister, power"
136,with gf,11/11/2018,sunday,4,4553,The Machinist,"Thriller, Drama",09/02/2004,7.3,1280,"factory, insomnia, post it, machinist, cleaning bathroom tile"
137,with gf,02/07/2018,monday,4,1372,Blood Diamond,"Drama, Thriller, Action",07/12/2006,7.4,2340,"rebel, journalist, journalism, loss of family, slavery"
138,Alone,03/10/2018,wednesday,4,3933,Corpse Bride,"Romance, Fantasy, Animation, Music",09/09/2005,7.2,1960,"shyness, england, cheating, old town, grave"
139,Alone,02/06/2018,saturday,4,8741,The Thin Red Line,"Drama, History, War",25/12/1998,7.2,790,"based on novel, japanese, world war ii, battle assignment, invasion"
140,Alone,19/04/2019,friday,4,2567,The Aviator,Drama,17/12/2004,7,1530,"ladykiller, pilot, biography, womanizer, aviation"
141,with gf,05/09/2018,wednesday,4,15472,The Girl with the Dragon Tattoo,"Drama, Thriller, Crime, Mystery",27/02/2009,7.4,1020,"rape, journalist, based on novel, bondage, island"
142,Alone,01/03/2019,friday,4,228150,Fury,"War, Drama, Action",15/10/2014,7.4,4030,"world war ii, nazis, war, nazi germany, panzer"
143,with family,10/06/2018,sunday,4,948,Halloween,"Horror, Thriller",25/10/1978,7.4,1070,"female nudity, nudity, mask, babysitter, halloween"
144,with gf,15/08/2018,wednesday,4,321741,Concussion,Drama,12/11/2015,7,840,"american football, concussion, biography, professional sports, brain damage"
145,Alone,21/09/2018,friday,4,50348,The Lincoln Lawyer,"Crime, Drama, Thriller",17/03/2011,7,920,"judge, arrest, jury, private investigator"
146,with gf,07/07/2018,saturday,4,808,Shrek,"Adventure, Animation, Comedy, Family, Fantasy",16/05/2001,7.3,4180,"magic, liberation, lordship, castle, robin hood"
147,Alone,06/05/2018,sunday,4,8374,The Boondock Saints,"Action, Thriller, Crime",22/01/1999,7.2,850,"arbitrary law, boston, twin brother, russian mafia, prologue"
148,with family,27/07/2018,friday,4,62215,Melancholia,"Drama, Science Fiction",26/05/2011,7,920,"wedding reception, power outage, destruction of planet, wedding toast"
