,Watched,Day,movieId,title,genres,release_date,vote_average,vote_count,keywords
26,Alone,monday,7840,"10,000 BC","Adventure, Action, Drama, Fantasy",2008,5.0,900,"indigenous, lover (female), pyramid, mammoth, sapient"
27,with gf,tuesday,2698,Evan Almighty,"Fantasy, Comedy, Family",2007,5.5,1200,"father son relationship, daily life, married couple, support, father"
28,Alone,friday,13836,Race to Witch Mountain,"Adventure, Family, Fantasy, Science Fiction, Thriller",2009,5.5,500,"mountain, spacecraft, laser, teleportation, telekinesis"
29,Alone,sunday,18480,Brüno,Comedy,2009,5.5,500,"gay, fame, mockumentary, hollywood, lgbt"
30,with gf,monday,14560,Paul Blart: Mall Cop,"Action, Adventure, Comedy, Family",2009,5.0,800,"security guard, duringcreditsstinger"
31,with gf,sunday,184346,Deliver Us from Evil,"Thriller, Crime, Horror",2014,6.0,700,"possessed, demon, occult, demonic possession"
32,with family,tuesday,9955,Blades of Glory,"Action, Comedy, Drama",2007,6.0,600,"competition, olympic games, sport, rivalry, ice skating"
33,with family,saturday,257344,Pixels,"Action, Comedy, Science Fiction",2015,5.5,2600,"video game, nerd, alien attack, 3d, pixels"
34,with family,saturday,23827,Paranormal Activity,"Horror, Mystery",2007,6.0,1400,"haunting, psychic, entity, demonic possession, found footage"
35,with family,saturday,709,Licence to Kill,"Adventure, Action, Thriller",1989,6.0,600,"corruption, florida, secret identity, liberation of prisoners, drug traffic"
36,with gf,friday,9355,Mad Max Beyond Thunderdome,"Action, Adventure, Science Fiction",1985,6.0,800,"arena, sandstorm, dystopia, oasis, sequel"
37,with family,thursday,10202,Bedtime Stories,"Fantasy, Comedy, Family, Romance",2008,6.0,900,"wishes come true, escapade, disorder, imaginary, miraculous event"
38,with gf,tuesday,52451,The Three Musketeers,"Adventure, Action, Thriller",2011,5.5,900,"number in title, historical fiction, musketeer, 17th century, 3d"
39,with family,tuesday,86834,Noah,"Drama, Adventure",2014,5.5,2400,"bible, god, noah, 3d"
40,with family,friday,62213,Dark Shadows,"Comedy, Fantasy",2012,5.5,2400,"witch, imprisonment, vampire, curse, fish out of water"
41,with family,saturday,335796,Ouija: Origin of Evil,"Horror, Thriller",2016,6.0,700,"supernatural, prequel, possession, ouija board, spirit"
42,with gf,saturday,2642,Two Weeks Notice,"Comedy, Romance",2002,6.0,500,"set, sammen"
43,with family,thursday,283445,Sinister 2,Horror,2015,5.5,600,"haunted house, sequel, twins"
44,with family,sunday,14869,G.I. Joe: The Rise of Cobra,"Adventure, Action, Thriller, Science Fiction",2009,5.5,2000,"terrorist, secret, hostage, technology, laser"
45,with gf,saturday,10137,Stuart Little,"Animation, Fantasy, Family, Comedy",1999,6.0,1000,"brother brother relationship, based on novel, cat, mouse, adoption"
46,with family,thursday,36669,Die Another Day,"Adventure, Action, Thriller",2002,6.0,1100,"laser, british secret service, secret service agent, space based weapon"
47,with family,tuesday,11674,101 Dalmatians,"Comedy, Family",1996,5.5,700,"london england, fur, fashion designer, puppy, ""based on childrens book"""
48,with family,tuesday,41513,The Smurfs,"Animation, Family, Adventure, Comedy, Fantasy",2011,5.5,1200,"moon, magic, based on comic, animation, good vs evil"
49,with gf,sunday,18360,Night at the Museum: Battle of the Smithsonian,"Adventure, Fantasy, Action, Comedy, Family",2009,6.0,2000,"museum, theodore roosevelt, duringcreditsstinger, amelia earhart, smithsonian"
50,with family,wednesday,23437,A Nightmare on Elm Street,"Horror, Mystery, Thriller",2010,5.5,800,"pedophilia, supernatural, freddy krueger, remake, revenge"
51,with family,friday,10661,You Don't Mess with the Zohan,"Comedy, Action",2008,5.5,1100,"new york, israel, middle east, hairdresser, ladykiller"
52,with family,tuesday,10022,The Pacifier,"Action, Comedy, Drama, Family, Thriller",2005,6.0,900,"bodybuilder, children, body guard, scientist, family"
53,with family,sunday,951,Kindergarten Cop,Comedy,1990,6.0,600,"crime fighter, cook, drug dealer, dying and death, kindergarten"
54,Alone,saturday,9600,Big Momma's House,"Crime, Comedy",2000,5.5,500,"绝地奶霸, 卧底肥妈, big爆任务, 超级妈妈"
55,with family,sunday,266294,Sisters,Comedy,2015,6.0,600,"sister sister relationship, childhood home"
57,Alone,monday,353491,The Dark Tower,"Action, Western, Science Fiction, Fantasy, Horror",2017,5.5,700,"gunslinger, based on novel"
58,with family,sunday,98357,Broken City,"Thriller, Crime, Drama",2013,5.5,600,"mayor, investigation, politics, ex-cop, revenge"
59,with family,sunday,534,Terminator Salvation,"Action, Science Fiction, Thriller",2009,6.0,2500,"saving the world, artificial intelligence, prophecy, san francisco, cyborg"
60,with family,sunday,3597,I Know What You Did Last Summer,"Horror, Thriller, Mystery",1997,5.5,700,"secret, blackmail, fisherman, police, high school"
61,Alone,monday,315837,Ghost in the Shell,"Action, Science Fiction, Thriller",2017,6.0,2600,"philosophy, cyborg, hacker, strong woman, investigation"
62,with family,sunday,7552,Fun with Dick and Jane,Comedy,2005,6.0,600,"based on novel, desperation, robber, hold-up robbery, remake"
63,with family,saturday,76494,What to Expect When You're Expecting,"Romance, Comedy, Drama",2012,6.0,600,"based on novel, adoption, pregnant, miscarriage, expectant father"
